number,leg,dartScore,bed,aimedat,sB4Dart,sAfDart,average
1,1,20,i20,t20,501,481,83.72
2,1,20,i20,t20,481,461,
3,1,20,i20,t20,461,441,
4,1,20,i20,t20,441,421,
5,1,60,t20,t20,421,361,
6,1,20,i20,t20,361,341,
7,1,20,i20,t20,341,321,
8,1,20,i20,t20,321,301,
9,1,5,o5,t20,301,296,
10,1,20,i20,t20,296,276,
11,1,20,o20,t20,276,256,
12,1,20,i20,t20,256,236,
13,1,60,t20,t20,236,176,
14,1,20,i20,t20,176,156,
16,2,60,t20,t20,501,441,
17,2,60,t20,t20,441,381,
18,2,60,t20,t20,381,321,
19,2,1,i1,t20,321,320,
20,2,20,i20,t20,320,300,
21,2,20,o20,t20,300,280,
22,2,20,o20,t20,280,260,
23,2,20,i20,t20,260,240,
24,2,60,t20,t20,240,180,
25,2,20,i20,t20,180,160,
29,3,20,o20,t20,501,481,
30,3,20,o20,t20,481,461,
31,3,60,t20,t20,461,401,
32,3,20,o20,t20,401,381,
33,3,20,i20,t20,381,361,
34,3,20,i20,t20,361,341,
35,3,60,t20,t20,341,281,
36,3,60,t20,t20,281,221,
37,3,20,o20,t20,221,201,
38,3,60,t20,t20,201,141,
41,4,20,i20,t20,501,481,
42,4,20,i20,t20,481,461,
43,4,20,i20,t20,461,441,
44,4,20,o20,t20,441,421,
45,4,20,o20,t20,421,401,
46,4,60,t20,t20,401,341,
47,4,60,t20,t20,341,281,
48,4,20,i20,t20,281,261,
49,4,60,t20,t20,261,201,
50,4,20,o20,t20,201,181,
51,4,20,i20,t20,181,161,
58,5,20,i20,t20,501,481,
59,5,60,t20,t20,481,421,
60,5,20,i20,t20,421,401,
61,5,20,o20,t20,401,381,
62,5,20,i20,t20,381,361,
63,5,20,i20,t20,361,341,
64,5,60,t20,t20,341,281,
65,5,20,o20,t20,281,261,
66,5,60,t20,t20,261,201,
67,5,20,i20,t20,201,181,
68,5,20,i20,t20,181,161,
75,6,20,i20,t20,501,481,
76,6,20,i20,t20,481,461,
77,6,20,o20,t20,461,441,
78,6,20,o20,t20,441,421,
79,6,60,t20,t20,421,361,
80,6,60,t20,t20,361,301,
81,6,60,t20,t20,301,241,
82,6,20,i20,t20,241,221,
84,6,60,t20,t20,204,144,
89,7,60,t20,t20,501,441,
90,7,20,i20,t20,441,421,
92,7,60,t20,t20,404,344,
93,7,20,o20,t20,344,324,
94,7,20,o20,t20,324,304,
95,7,20,i20,t20,304,284,
96,7,60,t20,t20,284,224,
97,7,20,i20,t20,224,204,
98,7,20,i20,t20,204,184,
99,7,20,i20,t20,184,164,
104,8,60,t20,t20,501,441,
105,8,60,t20,t20,441,381,
106,8,20,i20,t20,381,361,
107,8,20,i20,t20,361,341,
108,8,20,i20,t20,341,321,
109,8,20,o20,t20,321,301,
110,8,20,i20,t20,301,281,
111,8,60,t20,t20,281,221,
112,8,20,i20,t20,221,201,
113,8,60,t20,t20,201,141,
121,9,1,o1,t20,501,500,
122,9,20,o20,t20,500,480,
124,9,20,o20,t20,423,403,
125,9,60,t20,t20,403,343,
126,9,20,o20,t20,343,323,
127,9,60,t20,t20,323,263,
128,9,20,o20,t20,263,243,
129,9,20,i20,t20,243,223,
130,9,20,o20,t20,223,203,
131,9,20,i20,t20,203,183,
139,10,20,i20,t20,501,481,
140,10,20,i20,t20,481,461,
141,10,20,i20,t20,461,441,
142,10,20,i20,t20,441,421,
143,10,20,i20,t20,421,401,
144,10,20,i20,t20,401,381,
145,10,1,i1,t20,381,380,
146,10,20,i20,t20,380,360,
147,10,20,i20,t20,360,340,
148,10,20,o20,t20,340,320,
149,10,3,t1,t20,320,317,
151,10,20,i20,t20,298,278,
152,10,20,i20,t20,278,258,
153,10,20,o20,t20,258,238,
154,11,20,i20,t20,501,481,
155,11,20,o20,t20,481,461,
156,11,60,t20,t20,461,401,
157,11,20,i20,t20,401,381,
158,11,0,bounceout,t20,381,381,
159,11,20,o20,t20,381,361,
160,11,20,o20,t20,361,341,
161,11,20,o20,t20,341,321,
162,11,20,o20,t20,321,301,
163,11,20,i20,t20,301,281,
164,11,20,i20,t20,281,261,
165,11,20,i20,t20,261,241,
166,11,1,o1,t20,241,240,
167,11,20,o20,t20,240,220,
168,11,15,t5,t20,220,205,
169,11,20,i20,t20,205,185,
170,11,20,o20,t20,185,165,
175,12,20,i20,t20,501,481,
176,12,20,o20,t20,481,461,
178,12,20,i20,t20,410,390,
179,12,60,t20,t20,390,330,
180,12,20,o20,t20,330,310,
181,12,60,t20,t20,310,250,
182,12,60,t20,t20,250,190,
183,12,60,t20,t20,190,130,
195,13,20,i20,t20,501,481,
196,13,60,t20,t20,481,421,
197,13,20,o20,t20,421,401,
198,13,20,i20,t20,401,381,
199,13,60,t20,t20,381,321,
200,13,60,t20,t20,321,261,
201,13,20,i20,t20,261,241,
202,13,20,o20,t20,241,241,
204,13,20,o20,t20,204,184,
205,13,60,t20,t20,184,124,
211,14,20,o20,t20,501,481,
212,14,60,t20,t20,481,421,
213,14,20,i20,t20,421,401,
214,14,20,o20,t20,401,381,
215,14,60,t20,t20,381,321,
217,14,20,o20,t20,304,284,
218,14,20,i20,t20,284,264,
219,14,60,t20,t20,264,204,
220,14,60,t20,t20,204,144,
230,15,20,o20,t20,501,481,
231,15,20,o20,t20,481,461,
233,15,20,o20,t20,410,390,
234,15,20,i20,t20,390,370,
235,15,60,t20,t20,370,310,
236,15,20,i20,t20,310,290,
237,15,20,i20,t20,290,270,
238,15,1,i1,t20,270,269,
239,15,1,i1,t20,269,268,
240,15,20,o20,t20,268,248,
241,15,60,t20,t20,248,188,
242,16,20,o20,t20,501,481,
243,16,20,i20,t20,481,461,
245,16,20,o20,t20,444,424,
246,16,20,o20,t20,424,404,
247,16,60,t20,t20,404,344,
248,16,20,i20,t20,344,324,
249,16,20,i20,t20,324,304,
250,16,20,i20,t20,304,284,
251,16,20,i20,t20,284,264,
